,compound,concentration,replicate,TimePoint,siRNA,StateVar,data4modelReal
290,NIT,7.5,R1,12,NRF2,Live_cells,0.930161974
291,NIT,7.5,R1,12,NRF2,Total_cells,1.181972789
292,NIT,7.5,R1,13,NRF2,Apop_cells,0.298718927
293,NIT,7.5,R1,13,NRF2,Live_cells,0.93172325
294,NIT,7.5,R1,13,NRF2,Total_cells,1.230442177
295,NIT,7.5,R1,14,NRF2,Apop_cells,0.300806362
296,NIT,7.5,R1,14,NRF2,Live_cells,0.926234454
297,NIT,7.5,R1,14,NRF2,Total_cells,1.227040816
298,NIT,7.5,R1,15,NRF2,Apop_cells,0.312908971
299,NIT,7.5,R1,15,NRF2,Live_cells,0.933689669
300,NIT,7.5,R1,15,NRF2,Total_cells,1.246598639
301,NIT,7.5,R1,16,NRF2,Apop_cells,0.333400529
302,NIT,7.5,R1,16,NRF2,Live_cells,0.948912396
303,NIT,7.5,R1,16,NRF2,Total_cells,1.282312925
304,NIT,7.5,R1,17,NRF2,Apop_cells,0.368260936
305,NIT,7.5,R1,17,NRF2,Live_cells,0.925106411
306,NIT,7.5,R1,17,NRF2,Total_cells,1.293367347
307,NIT,7.5,R1,18,NRF2,Apop_cells,0.377002433
308,NIT,7.5,R1,18,NRF2,Live_cells,0.924868315
309,NIT,7.5,R1,18,NRF2,Total_cells,1.301870748
310,NIT,7.5,R1,19,NRF2,Apop_cells,0.414772944
311,NIT,7.5,R1,19,NRF2,Live_cells,0.910056988
312,NIT,7.5,R1,19,NRF2,Total_cells,1.324829932
313,NIT,7.5,R1,20,NRF2,Apop_cells,0.457805673
314,NIT,7.5,R1,20,NRF2,Live_cells,0.917194327
315,NIT,7.5,R1,20,NRF2,Total_cells,1.375
316,NIT,7.5,R2,0,NRF2,Apop_cells,NA
317,NIT,7.5,R2,0,NRF2,Live_cells,NA
318,NIT,7.5,R2,0,NRF2,Total_cells,1
319,NIT,7.5,R2,1,NRF2,Apop_cells,0.138478744
320,NIT,7.5,R2,1,NRF2,Live_cells,0.861521256
321,NIT,7.5,R2,1,NRF2,Total_cells,1
322,NIT,7.5,R2,2,NRF2,Apop_cells,0.146391609
323,NIT,7.5,R2,2,NRF2,Live_cells,0.837514755
324,NIT,7.5,R2,2,NRF2,Total_cells,0.983906364
325,NIT,7.5,R2,3,NRF2,Apop_cells,0.140288147
326,NIT,7.5,R2,3,NRF2,Live_cells,0.860443382
327,NIT,7.5,R2,3,NRF2,Total_cells,1.000731529
328,NIT,7.5,R2,4,NRF2,Apop_cells,0.139155734
329,NIT,7.5,R2,4,NRF2,Live_cells,0.857918151
330,NIT,7.5,R2,4,NRF2,Total_cells,0.997073884
331,NIT,7.5,R2,5,NRF2,Apop_cells,0.164804928
332,NIT,7.5,R2,5,NRF2,Live_cells,0.842510361
333,NIT,7.5,R2,5,NRF2,Total_cells,1.007315289
334,NIT,7.5,R2,6,NRF2,Apop_cells,0.1868929
335,NIT,7.5,R2,6,NRF2,Live_cells,0.843831313
336,NIT,7.5,R2,6,NRF2,Total_cells,1.030724214
337,NIT,7.5,R2,7,NRF2,Apop_cells,0.199308169
338,NIT,7.5,R2,7,NRF2,Live_cells,0.8606772
339,NIT,7.5,R2,7,NRF2,Total_cells,1.059985369
340,NIT,7.5,R2,8,NRF2,Apop_cells,0.240467429
341,NIT,7.5,R2,8,NRF2,Live_cells,0.852436741
342,NIT,7.5,R2,8,NRF2,Total_cells,1.09290417
343,NIT,7.5,R2,9,NRF2,Apop_cells,0.258156076
344,NIT,7.5,R2,9,NRF2,Live_cells,0.881565943
345,NIT,7.5,R2,9,NRF2,Total_cells,1.139722019
346,NIT,7.5,R2,10,NRF2,Apop_cells,0.257527223
347,NIT,7.5,R2,10,NRF2,Live_cells,0.913650539
348,NIT,7.5,R2,10,NRF2,Total_cells,1.171177762
349,NIT,7.5,R2,11,NRF2,Apop_cells,0.294879683
350,NIT,7.5,R2,11,NRF2,Live_cells,0.912874524
351,NIT,7.5,R2,11,NRF2,Total_cells,1.207754206
352,NIT,7.5,R2,12,NRF2,Apop_cells,0.321443065
353,NIT,7.5,R2,12,NRF2,Live_cells,0.907525479
354,NIT,7.5,R2,12,NRF2,Total_cells,1.228968544
355,NIT,7.5,R2,13,NRF2,Apop_cells,0.320147191
356,NIT,7.5,R2,13,NRF2,Live_cells,0.916136642
357,NIT,7.5,R2,13,NRF2,Total_cells,1.236283833
358,NIT,7.5,R2,14,NRF2,Apop_cells,0.345153103
359,NIT,7.5,R2,14,NRF2,Live_cells,0.93794858
360,NIT,7.5,R2,14,NRF2,Total_cells,1.283101683
361,NIT,7.5,R2,15,NRF2,Apop_cells,0.360092745
362,NIT,7.5,R2,15,NRF2,Live_cells,0.933250342
363,NIT,7.5,R2,15,NRF2,Total_cells,1.293343087
364,NIT,7.5,R2,16,NRF2,Apop_cells,0.40934443
365,NIT,7.5,R2,16,NRF2,Live_cells,0.916917457
366,NIT,7.5,R2,16,NRF2,Total_cells,1.326261887
367,NIT,7.5,R2,17,NRF2,Apop_cells,0.43007086
368,NIT,7.5,R2,17,NRF2,Live_cells,0.899848672
369,NIT,7.5,R2,17,NRF2,Total_cells,1.329919532
370,NIT,7.5,R2,18,NRF2,Apop_cells,0.415025516
371,NIT,7.5,R2,18,NRF2,Live_cells,0.952933519
372,NIT,7.5,R2,18,NRF2,Total_cells,1.367959034
